Season,Squad,Country,Comp,LgRank,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper,Notes
2022-2023,Nott'ham Forest,eng ENG,1. Premier League,10th,3,1,1,1,2,3,-1,4,"29,281","Brennan Johnson, Taiwo Awoniyi - 1",Dean Henderson,
2021-2022,Nott'ham Forest,eng ENG,2. Championship,4th,46,23,11,12,73,40,33,80,"27,137",Brennan Johnson - 16,Brice Samba,"Promoted, → Semi-finals"
2020-2021,Nott'ham Forest,eng ENG,2. Championship,17th,46,12,16,18,37,45,-8,52,,Lewis Grabban - 6,Brice Samba,
2019-2020,Nott'ham Forest,eng ENG,2. Championship,7th,46,18,16,12,58,50,8,70,"21,697",Lewis Grabban - 20,Brice Samba,
2018-2019,Nott'ham Forest,eng ENG,2. Championship,9th,46,17,15,14,61,54,7,66,"28,144",Lewis Grabban - 16,Costel Pantilimon,
2017-2018,Nott'ham Forest,eng ENG,2. Championship,17th,46,15,8,23,51,65,-14,53,"24,680",Kieran Dowell - 9,Jordan Smith,
2016-2017,Nott'ham Forest,eng ENG,2. Championship,21st,46,14,9,23,62,72,-10,51,"20,333",Britt Assombalonga - 14,Vladimir Stojković,
2015-2016,Nott'ham Forest,eng ENG,2. Championship,16th,46,13,16,17,43,47,-4,55,"19,676",Nélson Oliveira - 9,Dorus de Vries,
2014-2015,Nott'ham Forest,eng ENG,2. Championship,14th,46,15,14,17,71,69,2,59,"23,492",Britt Assombalonga - 15,Karl Darlow,
2013-2014,Nott'ham Forest,eng ENG,2. Championship,11th,46,16,17,13,67,64,3,65,"22,630",Andy Reid - 9,Karl Darlow,
2012-2013,Nott'ham Forest,eng ENG,2. Championship,8th,46,17,16,13,63,59,4,67,"23,082",Billy Sharp - 10,Lee Camp,
2011-2012,Nott'ham Forest,eng ENG,2. Championship,19th,46,14,8,24,48,63,-15,50,"21,970",Garath McCleary - 9,Lee Camp,
2010-2011,Nott'ham Forest,eng ENG,2. Championship,6th,46,20,15,11,69,50,19,75,"23,275",Lewis McGugan - 13,Lee Camp,→ Semi-finals
2009-2010,Nott'ham Forest,eng ENG,2. Championship,3rd,46,22,13,11,65,40,25,79,"23,831",Robert Earnshaw - 15,Lee Camp,→ Semi-finals
2008-2009,Nott'ham Forest,eng ENG,2. Championship,19th,46,13,14,19,50,65,-15,53,"22,229",Robert Earnshaw - 12,Paul Smith,
2007-2008,Nott'ham Forest,eng ENG,3. League One,2nd,46,22,16,8,64,32,32,82,"19,956",Junior Agogo - 13,Paul Smith,Promoted
2006-2007,Nott'ham Forest,eng ENG,3. League One,4th,46,23,13,10,65,41,24,82,"20,617",Grant Holt - 14,Paul Smith,→ Semi-finals
2005-2006,Nott'ham Forest,eng ENG,3. League One,7th,46,19,12,15,67,52,15,69,"20,257",Nathan Tyson - 10,Paul Gerrard,
2004-2005,Nott'ham Forest,eng ENG,2. Championship,23rd,46,9,17,20,42,66,-24,44,"23,565",Gareth Taylor - 7,Paul Gerrard,Relegated
2003-2004,Nott'ham Forest,eng ENG,2. First Division,14th,46,15,15,16,61,58,3,60,"24,751",Andy Reid - 13,Darren Ward,
2002-2003,Nott'ham Forest,eng ENG,2. First Division,6th,46,20,14,12,82,50,32,74,"24,437",David Johnson - 25,Darren Ward,→ Semi-finals
2001-2002,Nott'ham Forest,eng ENG,2. First Division,16th,46,12,18,16,50,51,-1,54,"20,944",Stern John - 13,Darren Ward,
,,,,,,,,,,,,,,,,
1998-1999,Nott'ham Forest,eng ENG,1. Premier League,20th,38,7,9,22,35,69,-34,30,"24,415",Dougie Freedman - 9,Dave Beasant,Relegated
,,,,,,,,,,,,,,,,
1996-1997,Nott'ham Forest,eng ENG,1. Premier League,20th,38,6,16,16,31,59,-28,34,"23,233","Kevin Campbell, Alf-Inge Håland - 6",Mark Crossley,Relegated
1995-1996,Nott'ham Forest,eng ENG,1. Premier League,9th,38,15,13,10,50,54,-4,58,"25,953","Jason Lee, Bryan Roy... - 8",Mark Crossley,
1994-1995,Nott'ham Forest,eng ENG,1. Premier League,3rd,42,22,11,9,72,43,29,77,"22,079",Stan Collymore - 23,Mark Crossley,→ UEFA Cup via league finish
,,,,,,,,,,,,,,,,
1992-1993,Nott'ham Forest,eng ENG,1. Premier League,22nd,42,10,10,22,41,62,-21,40,"21,910",Nigel Clough - 10,Mark Crossley,Relegated
